category,source_url,article_url,title,date,writer,content
Business,https://www.fanabc.com/english/category/business/,https://www.fanamc.com/english/midroc-ethiopia-ifc-sign-80-million-deal-to-expand-hospitality-sector-create-over-9400-jobs-in-ethiopia/,"MIDROC Ethiopia, IFC Sign $80 Million Deal to Expand Hospitality Sector, Create Over 9,400 Jobs in Ethiopia","Jun 10, 2026","Mesafint Brlie Jun 10, 2026","Addis Ababa, June 10, 2026 (FMC) — MIDROC Ethiopia PLC, one of Ethiopia’s largest private sector conglomerates, has signed an US$80 million financing agreement with the International Finance Corporation (IFC), a member of the World Bank Group, to expand and modernize Ethiopia’s hospitality sector and strengthen job creation in the tourism economy. The financing will support the refurbishment of the Sheraton Addis (Luxury Collection) and the development of a new Sheraton hotel in Addis Ababa under MIDROC Ethiopia’s hospitality arm, MIDROC Investment Group. The project is expected to generate more than 9,400 direct and indirect jobs, with emphasis on expanding formal employment opportunities for young people and women in Ethiopia’s growing hospitality and services sector. The partnership is aligned with Ethiopia’s broader economic priorities of strengthening tourism as a key pillar of growth, increasing foreign exchange earnings, and expanding domestic employment opportunities. Speaking on the agreement, International Finance Corporation Regional Vice President for Africa, Ethiopis Tafara, said tourism remains a strong engine for job creation and economic opportunity, noting that the partnership supports both infrastructure expansion and inclusive employment in countries such as Ethiopia. MIDROC Investment Group Chief Executive Officer, Jemal Ahmed Abdu , said the agreement represents a major step in modernizing Ethiopia’s hospitality sector, while reinforcing the group’s contribution to national development through job creation and service expansion. The project is also expected to support the development of green-certified hotel facilities in Addis Ababa, contributing to emerging efforts in Ethiopia to promote sustainable construction and environmentally responsible tourism infrastructure. IFC said the investment is part of its broader engagement with MIDROC across key sectors of Ethiopia’s economy, including agribusiness, manufacturing, and healthcare, aimed at supporting private sector-led growth, diversification, and long-term employment generation. MIDROC Ethiopia is a major Ethiopian private sector conglomerate operating across multiple industries, including hospitality, agribusiness, manufacturing, mining, construction, and commerce, and employing tens of thousands of people across the country."
Business,https://www.fanabc.com/english/category/business/,https://www.fanamc.com/english/made-in-ethiopia-movement-key-to-advancing-economic-sovereignty-senior-officials-say/,"“Made in Ethiopia” Movement Key to Advancing Economic Sovereignty, Senior Officials Say","Jun 7, 2026","Mesafint Brlie Jun 7, 2026","Addis Ababa, June 7, 2026 (FMC) — Senior officials have emphasized that the “Made in Ethiopia” movement represents a crucial phase in the country’s broader efforts to strengthen economic sovereignty through domestic production and value addition. The closing ceremony of the regional “Made in Ethiopia” initiative was held on Sunday in Kombolcha city, Amhara Regional State. Speaking at the event, Mr. Arega Kebede, Chief Administrator of the Amhara Regional State, said the movement is an integral part of ongoing national efforts aimed at ensuring economic self-reliance by expanding the use of local resources in manufacturing. He noted that the initiative is grounded in the principle of producing goods domestically by leveraging Ethiopia’s own resources and human capital, describing it as a key pillar in the broader drive toward safeguarding national economic sovereignty. According to Mr. Arega, the movement is already contributing to a shift in the country’s economic structure—from one largely dependent on consumption and imports to a more production-oriented system driven by local capacity. He further stated that while progress in high-end industrial development has been encouraging, greater attention should also be given to the expansion of medium-scale industries to promote inclusive growth and wider economic participation. For his part, Ethiopia’s Minister of Industry, Mr. Melaku Alebel, highlighted that products being manufactured in the region are increasingly substituting imported goods, with some also entering international markets. He stressed that efforts to strengthen domestic production across all sectors will continue to be scaled up by fully utilizing the region’s diverse industrial potential. Participants at the forum also noted that despite significant progress in the region’s industrial development in recent years, challenges remain, particularly in areas related to power supply, infrastructure, and access to finance."
Business,https://www.fanabc.com/english/category/business/,https://www.fanamc.com/english/ethiopian-airlines-and-cbe-launch-co-branded-visa-prepaid-card-to-strengthen-global-payment-services/,Ethiopian Airlines and CBE Launch Co-Branded Visa…,,,"Addis Ababa, June 5, 2026 (FMC) — Ethiopian Airlines Group and the Commercial Bank of Ethiopia (CBE), in partnership with Visa, have launched a co-branded Visa prepaid card aimed at strengthening global payment services for customers.  The initiative is designed to enable Ethiopian Airlines customers to make secure and convenient transactions across international destinations, further expanding the airline’s digital service ecosystem beyond air transport services. Passengers who are members of the ShebaMiles loyalty program are expected to particularly benefit from the new card, which facilitates fast, secure, and simplified payment experiences worldwide.  The card features a secure payment system and carries the branding of Ethiopian Airlines, CBE, and Visa, reflecting the joint collaboration behind the initiative. It is also designed to offer customers a range of rewards and benefits linked to usage. The card is made available to Ethiopian Airlines customers as part of efforts to strengthen service integration and customer engagement. The system enables users to convert everyday spending into travel-related benefits, allowing them to accumulate rewards through both in-person point-of-sale transactions and online e-commerce purchases."
Business,https://www.fanabc.com/english/category/business/,https://www.fanamc.com/english/investment-reform-and-market-access-ethiopia-and-united-states-map-next-phase-of-economic-engagement/,"Investment, Reform, and Market Access: Ethiopia and…",,,"Addis Ababa, June 4, 2026 (FMC) — The Ethiopian Investment Commission and the United States Embassy in Ethiopia have held discussions focused on deepening investment cooperation, strengthening market access, and expanding the role of American investors in Ethiopia’s evolving economic landscape. Commissioner of the Ethiopian Investment Commission, Zeleke Temesgen, held talks with United States Ambassador to Ethiopia, Ervin Jose Massinga, on ways to enhance U.S. investor participation across priority sectors of Ethiopia’s economy.  During the discussions, Zeleke provided an overview of Ethiopia’s investment opportunities and outlined ongoing policy and institutional reforms aimed at improving the predictability and investor-friendliness of the country’s business environment. He also highlighted measures being implemented to address investor challenges and further improve operational conditions for foreign and domestic investors.  He emphasized the importance of strengthening investment relations between Ethiopia and the United States, noting the Commission’s readiness to work closely with stakeholders and the Embassy to reinforce Public-Private Dialogue (PPD) platforms, support Ethiopia’s accession process to the World Trade Organization (WTO), and jointly organize a U.S.–Ethiopia Trade Forum.  Ambassador Ervin Jose Massinga commended Ethiopia’s ongoing reforms aimed at liberalizing key sectors and improving the investment climate. He stated that accelerating and deepening these reforms would further enhance confidence and create a more predictable environment for U.S. companies operating in or considering investment in Ethiopia. He noted that American investors have shown strong interest in Ethiopia across multiple sectors, including the international airport project, mining, healthcare, infrastructure, finance, and technology. He reaffirmed the Embassy’s commitment to working closely with the Ethiopian Investment Commission to advance these investment opportunities. The discussions also reviewed progress under the Ethiopia–U.S. Structural Dialogue and explored additional areas of cooperation, including information exchange, issues affecting U.S. investors, and foreign investor participation in Ethiopia’s banking sector, as well as broader conditions for U.S. companies operating in the country. Both sides noted that the engagement contributes to strengthening the momentum of the Ethiopia–U.S. Structural Dialogue and supports Ethiopia’s ongoing efforts toward WTO accession, with the broader objective of deepening economic cooperation and enhancing integration into the global trading system."
Business,https://www.fanabc.com/english/category/business/,https://www.fanamc.com/english/norwegian-investors-eye-ethiopias-e-mobility-and-green-investment-opportunities/,Norwegian Investors Eye Ethiopia’s E-Mobility and Green Investment Opportunities,"Jun 3, 2026","Mesafint Brlie Jun 3, 2026 0","Addis Ababa, June 2, 2026 (FMC) — The Ethiopian Investment Commission (EIC) and a Norwegian delegation have held discussions in Addis Ababa on expanding cooperation in green investment sectors, with particular focus on renewable energy and electric mobility. Commissioner of the Ethiopian Investment Commission, Zeleke Temesgen, met with a delegation led by the Norwegian Ambassador to Ethiopia, Stine Christensen. The discussions centered on strengthening investment cooperation between Ethiopia and Norway in areas including e-mobility, renewable energy, and sustainable economic development. The Commission stated that Ethiopia is undertaking policy and institutional reforms aimed at improving the investment climate, including opening additional sectors to private investment and enhancing regulatory frameworks to support business operations. These measures, it noted, are intended to ensure a more transparent and predictable investment environment. It was also noted that government efforts are ongoing to promote investment in the electric mobility sector through supportive policies and infrastructure development, with investors encouraged to explore emerging opportunities in the field. The Norwegian side indicated that investors from Norway have shown growing interest in Ethiopia’s green economy, particularly in renewable energy and electric vehicle development, drawing on Norway’s experience in sustainable energy transition. The two sides further discussed preparations for the Nordic–Africa EV Summit scheduled for September in Addis Ababa. The summit is expected to bring together policymakers, investors, industry stakeholders, and development partners from Africa and the Nordic region to discuss electric mobility and clean transport systems. Both sides underscored that Ethiopia’s ongoing investment reforms and Norway’s expertise in green technologies present opportunities for expanded cooperation in sustainable investment areas, particularly in renewable energy and e-mobility."
Business,https://www.fanabc.com/english/category/business/,https://www.fanamc.com/english/%f0%9f%87%aa%f0%9f%87%b9-ethio-telecom-makes-historic-entry-into-capital-market-with-listing-on-ethiopian-securities-exchange/,🇪🇹 Ethio Telecom Makes Historic Entry into Capital Market with Listing on Ethiopian Securities…,"May 26, 2026","Mesafint Brlie May 26, 2026 0","Addis Ababa, May 26, 2026 (FMC) — Ethio Telecom has been officially listed on the Ethio Telecom shares market under the Ethiopian Securities Exchange (ESX), marking a historic turning point in the country’s financial and capital market development. The listing follows a public share offer in which the state-owned telecom operator sold a 10 percent stake to Ethiopian citizens. The initiative is designed to broaden public participation in ownership of one of the country’s largest and most profitable enterprises, while also laying the groundwork for a more inclusive investment culture and a modern capital market system. Speaking at the official listing ceremony, Ethio Telecom CEO Frehiwot Tamru said the company is committed to supporting Ethiopia’s broader digital transformation agenda and strengthening financial inclusion. She emphasized that the move aligns with national efforts under “Digital Ethiopia,” aimed at expanding access to digital services and economic opportunity. Regulatory authorities also highlighted the significance of the development, local media ENA reported. Ethiopian Capital Market Authority Director General Hana Tehelku noted that Ethio Telecom’s entry into the exchange reflects the growing role of major state enterprises in advancing technology, investment, and financial sector development. She added that the authority remains committed to providing regulatory oversight and institutional support as Ethiopia builds its capital market ecosystem. For his part, Ethiopian Securities Exchange CEO Tilahun Esmael described the listing as a key milestone for Ethiopia’s financial system, highlighting Ethio Telecom’s transformation and its importance in shaping the country’s digital and financial future. Beyond the institutional announcements, the listing is widely viewed as a foundational step in Ethiopia’s effort to establish a functioning capital market. It is expected to encourage domestic investment, attract potential foreign participation in the long term, and create a formal platform where citizens can trade shares and build wealth through equity ownership. Analysts see the move as part of a broader structural shift: transitioning from a largely state-led economic model toward a more market-oriented system with regulated investment channels. While still at an early stage, the Ethiopian Securities Exchange is positioned as a central pillar in that transition, aiming to connect businesses with capital and citizens with investment opportunities in a transparent marketplace, it was learned. Against this backdrop, the listing of Ethio Telecom is widely seen not only as a corporate milestone, but also as a symbolic gateway for Ethiopia’s entry into organized capital markets. #Ethiopia"
Business,https://www.fanabc.com/english/category/business/,https://www.fanamc.com/english/all-commercial-banks-in-ethiopia-authorized-to-issue-export-permits-for-china-exports-central-bank/,All commercial banks in Ethiopia authorized to issue export permits for China exports – Central Bank,"May 26, 2026","Mesafint Brlie May 26, 2026 0","Addis Ababa, May 26, 2026 (FMC) — The National Bank of Ethiopia has announced that all licensed commercial banks in the country are now authorized to issue export permits and facilitate banking services for exports destined to the People’s Republic of China . The decision revises a previous directive that had limited the issuance of export permits exclusively to the Commercial Bank of Ethiopia , under the framework of bilateral economic and financial cooperation between Ethiopia and China. In its statement, the central bank said the move is intended to streamline foreign trade procedures, enhance competitiveness in the export sector, and improve access to banking services for exporters. Accordingly, effective May 26, 2026, all commercial banks are authorized to process export permits, handle documentary credits, and manage related financial transactions for China-bound exports, in line with existing foreign exchange and export regulatory requirements."
Business,https://www.fanabc.com/english/category/business/,https://www.fanamc.com/english/newly-commissioned-grandeur-ceramic-factory-advances-ethiopias-vision-for-globally-competitive-manufacturing-pm-abiy/,Grandeur Ceramic Factory Advances Ethiopia’s Vision for Globally Competitive Manufacturing – PM Abiy,"May 23, 2026","Mesafint Brlie May 23, 2026 0","Addis Ababa, May 23, 2026 (FMC) — Prime Minister Abiy Ahmed said the inauguration of the Grandeur Ceramic Factory in Mojo town marks a major milestone in advancing the “Made in Ethiopia” initiative and reflects Ethiopia’s broader vision for globally competitive manufacturing.  In a social media post shared following the inauguration ceremony held this morning, the Prime Minister described the factory as a practical demonstration of the country’s ongoing industrialization drive, noting that such developments are expected to steadily expand across Ethiopia while attracting international investments.  According to the Prime Minister, the factory will produce ceramic products that meet international standards in both quality and competitiveness, while sourcing more than 80 percent of its raw materials locally. He further stated that the project will strengthen Ethiopia’s capacity to utilize its natural resources and domestic potential more effectively, while significantly reducing dependence on imported goods."
Business,https://www.fanabc.com/english/category/business/,https://www.fanamc.com/english/ethiopia-completes-third-direct-livestock-export-shipment-to-saudi-arabia/,Ethiopia Completes Third Direct Livestock Export Shipment to Saudi Arabia,"May 19, 2026","Mesafint Brlie May 19, 2026 0","Addis Ababa, May 19, 2026 (FMC) – Ethiopia has exported 5,500 head of livestock to Saudi Arabia in a direct shipment conducted under Ethiopian certificates of origin, marking the third such operation of its kind. The export was facilitated through a joint effort involving the Ethiopian Embassy in Djibouti and the Ethiopian Shipping and Logistics Services Enterprise, in collaboration with other sector institutions, and executed through an Ethiopian investor. The shipment of 5,500 sheep was conducted under Ethiopian certification of origin and directly dispatched to Saudi Arabia as part of an ongoing formal trade arrangement. According to the report, previous informal practices had prevented Ethiopian exporters from fully benefiting from legitimate sector revenues and had also limited competitiveness in the export market. This latest shipment marks the third direct export operation of its kind, following two earlier consignments dispatched from the Mille Livestock Quarantine Station directly to Middle Eastern markets under Ethiopia’s designation. The Embassy stated that it will continue efforts to curb illegal trade practices in the sector and strengthen monitoring and support for Ethiopian exporters entering the market, in coordination with relevant institutions."
Business,https://www.fanabc.com/english/category/business/,https://www.fanamc.com/english/ethiopia-pushes-for-expanded-european-investment-as-ethiopia-benelux-business-forum-opens-in-luxembourg/,Ethiopia Pushes for Expanded European Investment as Ethiopia-Benelux Business Forum Opens in…,"May 19, 2026","Mesafint Brlie May 19, 2026 0","Addis Ababa, May 19, 2026 (FMC) — Ethiopia has renewed its drive to deepen economic and trade engagement with European partners as the Ethiopia-Benelux Business Forum officially opened in Luxembourg, bringing together government officials, investors, business leaders and development partners from Ethiopia and the Benelux countries. The multi-country business forum is aimed at strengthening commercial relations, expanding business-to-business engagement and creating new investment partnerships between Ethiopia and the Benelux region comprising Belgium, the Netherlands and Luxembourg. More than 20 Ethiopian companies are taking part in the forum, presenting investment and trade opportunities across several strategic sectors as Ethiopia intensifies efforts to position itself as a competitive investment destination in Africa. Speaking at the opening session, Ethiopia’s Ambassador to Belgium, Luxembourg, the Netherlands and the European Union, Ambassador Eshete Tilahun, said the country’s ongoing macroeconomic reforms, expanding market liberalization measures and private sector-driven economic transition are accelerating Ethiopia’s broader economic transformation. The ambassador stressed that Ethiopia is actively working to attract foreign direct investment in key sectors including agriculture, manufacturing, mining, information and communication technology, renewable energy, tourism, healthcare and logistics. Highlighting Ethiopia’s strategic geographic position and growing connectivity to African markets, Ambassador Eshete said ongoing infrastructure expansion, reforms aimed at improving the business climate and rising clean energy capacity spearheaded by the Grand Ethiopian Renaissance Dam are strengthening the country’s attractiveness to international investors. He further called on investors and business communities from Luxembourg and the wider Benelux region to capitalize on emerging opportunities in Ethiopia and establish long-term, sustainable economic partnerships. The opening ceremony also featured remarks from Director of International Affairs at the Luxembourg Chamber of Commerce Cindy Tereba, Luxembourg’s Ambassador to Ethiopia Jeanne Crauser and Interim President of the CBL-ACP Dominiek Viaene. The Ethiopia-Benelux Business Forum, which began in Luxembourg on Monday, will continue in Brussels from May 19 to 22, 2026, with additional business engagements and investment discussions scheduled throughout the forum, the Ethiopian Embassy in Brussels told Fana Media Corporation."
